uavsar_path,flood_mask_path,valid_pixel_fraction,assumed_flood_fraction,label_type,height,width,scene_name
tiles/drought_SMAPdr_27006_12116/tile_00000.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00000.tif,0.7691802978515625,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00001.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00001.tif,0.77679443359375,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00002.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00002.tif,0.7906036376953125,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00003.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00003.tif,0.8076324462890625,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00004.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00004.tif,0.813018798828125,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00005.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00005.tif,0.8226776123046875,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00006.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00006.tif,0.8331756591796875,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00007.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00007.tif,0.8527679443359375,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00008.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00008.tif,0.864532470703125,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00009.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00009.tif,0.8755340576171875,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00010.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00010.tif,0.8862152099609375,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00011.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00011.tif,0.89581298828125,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00012.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00012.tif,0.900909423828125,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00013.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00013.tif,0.904144287109375,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00014.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00014.tif,0.986846923828125,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00015.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00015.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00016.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00016.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00017.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00017.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00018.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00018.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00019.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00019.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00020.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00020.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00021.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00021.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00022.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00022.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00023.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00023.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00024.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00024.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00025.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00025.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00026.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00026.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00027.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00027.tif,1.0,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
tiles/drought_SMAPdr_27006_12116/tile_00028.tif,drought_augmentation/generated_masks/drought_SMAPdr_27006_12116/tile_00028.tif,0.9686737060546876,0.0,assumed_negative_drought,256,256,drought_SMAPdr_27006_12116
