csv_path,relative_to_split_root,condition,fold,split,row_index,event,source_fp,uavsar_path,flood_mask_path,sar_exists,mask_exists,sar_ext,mask_ext
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,0,florence,unknown,2025_Tile_Data/UAVSAR/tile_10_48.tif,2025_Tile_Data/flood_change_mask_tiles/tile_10_48.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,1,florence,unknown,2025_Tile_Data/UAVSAR/tile_10_49.tif,2025_Tile_Data/flood_change_mask_tiles/tile_10_49.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,2,florence,unknown,2025_Tile_Data/UAVSAR/tile_10_50.tif,2025_Tile_Data/flood_change_mask_tiles/tile_10_50.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,3,florence,unknown,2025_Tile_Data/UAVSAR/tile_10_51.tif,2025_Tile_Data/flood_change_mask_tiles/tile_10_51.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,4,florence,unknown,2025_Tile_Data/UAVSAR/tile_11_48.tif,2025_Tile_Data/flood_change_mask_tiles/tile_11_48.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,5,florence,unknown,2025_Tile_Data/UAVSAR/tile_11_49.tif,2025_Tile_Data/flood_change_mask_tiles/tile_11_49.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,6,florence,unknown,2025_Tile_Data/UAVSAR/tile_11_50.tif,2025_Tile_Data/flood_change_mask_tiles/tile_11_50.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,7,florence,unknown,2025_Tile_Data/UAVSAR/tile_11_51.tif,2025_Tile_Data/flood_change_mask_tiles/tile_11_51.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,8,florence,unknown,2025_Tile_Data/UAVSAR/tile_12_48.tif,2025_Tile_Data/flood_change_mask_tiles/tile_12_48.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,9,florence,unknown,2025_Tile_Data/UAVSAR/tile_12_49.tif,2025_Tile_Data/flood_change_mask_tiles/tile_12_49.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,10,florence,unknown,2025_Tile_Data/UAVSAR/tile_12_50.tif,2025_Tile_Data/flood_change_mask_tiles/tile_12_50.tif,True,True,.tif,.tif
training/fine_tune_csvs/no_overlap_converted/held_out_fp1_test.csv,held_out_fp1_test.csv,florence_only,fp1,test,11,florence,unknown,2025_Tile_Data/UAVSAR/tile_12_51.tif,2025_Tile_Data/flood_change_mask_tiles/tile_12_51.tif,True,True,.tif,.tif
