sample_id,flight_path,tile_name,uavsar_path,flood_mask_path,land_cover_mask_path,has_flood_mask,has_land_cover_mask,tile_name_appears_in_multiple_flight_paths,flight_paths_with_same_tile_name,in_ieee_cd_png,in_ieee_lcc_png,included_in_ieee_png_filtered_dataset
fp2_tile_22_43,fp2,tile_22_43.tif,fp2_lee7_tiles/tile_22_43.tif,flood_change_mask_tiles/tile_22_43.tif,land_cover_mask_tiles/tile_22_43.tif,True,True,False,fp2,True,True,True
fp1_tile_24_55,fp1,tile_24_55.tif,fp1_lee7_tiles/tile_24_55.tif,flood_change_mask_tiles/tile_24_55.tif,land_cover_mask_tiles/tile_24_55.tif,True,True,False,fp1,True,True,True
fp2_tile_33_48,fp2,tile_33_48.tif,fp2_lee7_tiles/tile_33_48.tif,flood_change_mask_tiles/tile_33_48.tif,land_cover_mask_tiles/tile_33_48.tif,True,True,False,fp2,True,True,True
fp2_tile_43_45,fp2,tile_43_45.tif,fp2_lee7_tiles/tile_43_45.tif,flood_change_mask_tiles/tile_43_45.tif,land_cover_mask_tiles/tile_43_45.tif,True,True,True,fp2;fp3,True,True,True
fp3_tile_43_45,fp3,tile_43_45.tif,fp3_lee7_tiles/tile_43_45.tif,flood_change_mask_tiles/tile_43_45.tif,land_cover_mask_tiles/tile_43_45.tif,True,True,True,fp2;fp3,True,True,True
fp3_tile_35_35,fp3,tile_35_35.tif,fp3_lee7_tiles/tile_35_35.tif,flood_change_mask_tiles/tile_35_35.tif,land_cover_mask_tiles/tile_35_35.tif,True,True,False,fp3,True,True,True
fp6_tile_36_31,fp6,tile_36_31.tif,fp6_lee7_tiles/tile_36_31.tif,flood_change_mask_tiles/tile_36_31.tif,land_cover_mask_tiles/tile_36_31.tif,True,True,False,fp6,True,True,True
fp3_tile_27_25,fp3,tile_27_25.tif,fp3_lee7_tiles/tile_27_25.tif,flood_change_mask_tiles/tile_27_25.tif,land_cover_mask_tiles/tile_27_25.tif,True,True,True,fp3;fp6,True,True,True
fp6_tile_27_25,fp6,tile_27_25.tif,fp6_lee7_tiles/tile_27_25.tif,flood_change_mask_tiles/tile_27_25.tif,land_cover_mask_tiles/tile_27_25.tif,True,True,True,fp3;fp6,True,True,True
fp4_tile_42_31,fp4,tile_42_31.tif,fp4_lee7_tiles/tile_42_31.tif,flood_change_mask_tiles/tile_42_31.tif,land_cover_mask_tiles/tile_42_31.tif,True,True,True,fp4;fp5,True,True,True
fp5_tile_42_31,fp5,tile_42_31.tif,fp5_lee7_tiles/tile_42_31.tif,flood_change_mask_tiles/tile_42_31.tif,land_cover_mask_tiles/tile_42_31.tif,True,True,True,fp4;fp5,True,True,True
fp4_tile_43_29,fp4,tile_43_29.tif,fp4_lee7_tiles/tile_43_29.tif,flood_change_mask_tiles/tile_43_29.tif,land_cover_mask_tiles/tile_43_29.tif,True,True,True,fp4;fp5,True,True,True
fp5_tile_43_29,fp5,tile_43_29.tif,fp5_lee7_tiles/tile_43_29.tif,flood_change_mask_tiles/tile_43_29.tif,land_cover_mask_tiles/tile_43_29.tif,True,True,True,fp4;fp5,True,True,True
fp1_tile_15_51,fp1,tile_15_51.tif,fp1_lee7_tiles/tile_15_51.tif,flood_change_mask_tiles/tile_15_51.tif,land_cover_mask_tiles/tile_15_51.tif,True,True,False,fp1,True,True,True
fp4_tile_29_16,fp4,tile_29_16.tif,fp4_lee7_tiles/tile_29_16.tif,flood_change_mask_tiles/tile_29_16.tif,land_cover_mask_tiles/tile_29_16.tif,True,True,True,fp4;fp5,True,True,True
fp5_tile_29_16,fp5,tile_29_16.tif,fp5_lee7_tiles/tile_29_16.tif,flood_change_mask_tiles/tile_29_16.tif,land_cover_mask_tiles/tile_29_16.tif,True,True,True,fp4;fp5,True,True,True
fp4_tile_40_27,fp4,tile_40_27.tif,fp4_lee7_tiles/tile_40_27.tif,flood_change_mask_tiles/tile_40_27.tif,land_cover_mask_tiles/tile_40_27.tif,True,True,True,fp4;fp5,True,True,True
fp5_tile_40_27,fp5,tile_40_27.tif,fp5_lee7_tiles/tile_40_27.tif,flood_change_mask_tiles/tile_40_27.tif,land_cover_mask_tiles/tile_40_27.tif,True,True,True,fp4;fp5,True,True,True
fp4_tile_37_30,fp4,tile_37_30.tif,fp4_lee7_tiles/tile_37_30.tif,flood_change_mask_tiles/tile_37_30.tif,land_cover_mask_tiles/tile_37_30.tif,True,True,True,fp4;fp6,True,True,True
fp6_tile_37_30,fp6,tile_37_30.tif,fp6_lee7_tiles/tile_37_30.tif,flood_change_mask_tiles/tile_37_30.tif,land_cover_mask_tiles/tile_37_30.tif,True,True,True,fp4;fp6,True,True,True
